,Data,Open,High,Low,Close,Volume,Ajustado,Retornos,Retornos Ajustados
313,2002-04-12,13418,13764,13418,13751,0,13751,333,333
314,2002-04-15,13772,13822,13438,13472,0,13472,-300,-300
315,2002-04-16,13476,13693,13476,13623,0,13623,147,147
316,2002-04-17,13633,13872,13633,13732,0,13732,99,99
317,2002-04-18,13729,13729,13446,13573,0,13573,-156,-156
318,2002-04-19,13568,13631,13448,13478,0,13478,-90,-90
319,2002-04-22,13484,13485,13056,13224,0,13224,-260,-260
320,2002-04-23,13224,13302,13076,13188,0,13188,-36,-36
321,2002-04-24,13182,13394,13176,13381,0,13381,199,199
322,2002-04-25,13384,13384,13113,13273,0,13273,-111,-111
323,2002-04-26,13273,13367,13037,13076,0,13076,-197,-197
324,2002-04-29,13076,13142,13032,13090,0,13090,14,14
325,2002-04-30,13096,13267,13065,13085,0,13085,-11,-11
326,2002-05-02,13088,13090,12510,12538,0,12538,-550,-550
327,2002-05-03,12557,12679,12431,12610,0,12610,53,53
328,2002-05-06,12594,12595,12272,12430,0,12430,-164,-164
329,2002-05-07,12433,12631,12291,12342,0,12342,-91,-91
330,2002-05-08,12353,12664,12353,12617,0,12617,264,264
331,2002-05-09,12602,12603,12077,12102,0,12102,-500,-500
332,2002-05-10,12106,12180,11944,12130,0,12130,24,24
333,2002-05-13,12147,12212,11943,12002,0,12002,-145,-145
334,2002-05-14,11999,12327,11999,12204,0,12204,205,205
335,2002-05-15,12207,12468,12114,12350,0,12350,143,143
336,2002-05-16,12396,12691,12396,12660,0,12660,264,264
337,2002-05-17,12665,12739,12563,12699,0,12699,34,34
338,2002-05-20,12700,12770,12606,12668,0,12668,-32,-32
339,2002-05-21,12674,12774,12627,12701,0,12701,27,27
340,2002-05-22,12697,12845,12352,12368,0,12368,-329,-329
341,2002-05-23,12380,12561,12244,12556,0,12556,176,176
342,2002-05-24,12544,12689,12445,12574,0,12574,30,30
343,2002-05-27,12578,12708,12528,12698,0,12698,120,120
344,2002-05-28,12703,12861,12703,12728,0,12728,25,25
345,2002-05-29,12728,13003,12720,12985,0,12985,257,257
346,2002-05-31,12992,13013,12861,12861,0,12861,-131,-131
347,2002-06-03,12859,12919,12641,12659,0,12659,-200,-200
348,2002-06-04,12637,12642,12493,12600,0,12600,-37,-37
349,2002-06-05,12580,12707,12574,12590,0,12590,10,10
350,2002-06-06,12591,12595,12113,12113,0,12113,-478,-478
351,2002-06-07,12051,12310,11955,12283,0,12283,232,232
352,2002-06-10,12306,12600,12304,12600,0,12600,294,294
353,2002-06-11,12609,12686,12170,12210,0,12210,-399,-399
354,2002-06-12,12221,12400,12058,12133,0,12133,-88,-88
355,2002-06-13,12133,12313,11962,11962,0,11962,-171,-171
356,2002-06-14,11985,11985,11601,11699,0,11699,-286,-286
357,2002-06-17,11705,11955,11705,11937,0,11937,232,232
358,2002-06-18,11942,12116,11809,11821,0,11821,-121,-121
359,2002-06-19,11822,11901,11485,11493,0,11493,-329,-329
360,2002-06-20,11508,11603,10894,10909,0,10909,-599,-599
361,2002-06-21,10917,11010,10298,10398,0,10398,-519,-519
362,2002-06-24,10438,10814,10247,10759,0,10759,321,321
363,2002-06-25,10773,10973,10597,10706,0,10706,-67,-67
364,2002-06-26,10676,10694,10430,10691,0,10691,15,15
365,2002-06-27,10690,11013,10690,11013,0,11013,323,323
366,2002-06-28,11018,11271,11018,11139,0,11139,121,121
367,2002-07-01,11138,11173,10853,10892,0,10892,-246,-246
368,2002-07-02,10891,10908,10711,10846,98006400,10846,-45,-45
369,2002-07-03,10854,10868,10520,10636,98006400,10636,-218,-218
370,2002-07-04,10661,10721,10594,10655,98006400,10655,-6,-6
371,2002-07-05,10663,10668,10425,10524,0,10524,-139,-139
372,2002-07-08,10524,10708,10506,10687,0,10687,163,163
373,2002-07-10,10690,10851,10539,10556,0,10556,-134,-134
374,2002-07-11,10545,10810,10467,10806,0,10806,261,261
375,2002-07-12,10811,10968,10213,10967,0,10967,156,156
376,2002-07-15,10966,10969,10474,10633,0,10633,-333,-333
377,2002-07-16,10646,10743,10522,10578,0,10578,-68,-68
378,2002-07-17,10589,10814,10589,10755,0,10755,166,166
379,2002-07-18,10755,10915,10710,10813,0,10813,58,58
380,2002-07-19,10813,10813,10545,10583,0,10583,-230,-230
381,2002-07-22,10568,10568,9879,9892,0,9892,-676,-676
382,2002-07-23,9900,10082,9603,9746,0,9746,-154,-154
383,2002-07-24,9739,9973,9423,9937,0,9937,198,198
384,2002-07-25,9947,9947,9486,9666,0,9666,-281,-281
385,2002-07-26,9672,9778,9155,9217,0,9217,-455,-455
386,2002-07-29,9251,9673,9240,9240,0,9240,-11,-11
387,2002-07-30,9247,9613,9188,9342,0,9342,95,95
388,2002-07-31,9346,9896,9344,9763,0,9763,417,417
389,2002-08-01,9782,9864,9537,9760,0,9760,-22,-22
390,2002-08-02,9768,9943,9738,9852,0,9852,84,84
391,2002-08-05,9848,9848,9452,9470,0,9470,-378,-378
392,2002-08-06,9472,9795,9471,9755,0,9755,283,283
393,2002-08-07,9766,10763,9649,9870,0,9870,104,104
394,2002-08-08,9911,10420,9911,10316,0,10316,405,405
395,2002-08-09,10315,10315,9971,9986,0,9986,-329,-329
396,2002-08-12,10008,10009,9687,9724,0,9724,-284,-284
397,2002-08-13,9724,9842,9444,9444,0,9444,-280,-280
398,2002-08-14,9461,9587,9017,9343,0,9343,-118,-118
399,2002-08-15,9373,9473,9161,9183,0,9183,-190,-190
400,2002-08-16,9213,9539,9213,9526,0,9526,313,313
401,2002-08-19,9512,9657,9404,9417,0,9417,-95,-95
402,2002-08-20,9455,9552,9258,9263,0,9263,-192,-192
403,2002-08-21,9270,9495,9270,9438,0,9438,168,168
404,2002-08-22,9441,9703,9412,9703,0,9703,262,262
405,2002-08-23,9710,9761,9594,9676,0,9676,-34,-34
406,2002-08-26,9690,10100,9689,10098,0,10098,408,408
407,2002-08-27,10118,10389,10118,10372,0,10372,254,254
408,2002-08-28,10383,10436,10231,10380,0,10380,-3,-3
