Data,Open,High,Low,Close,Volume,Ajustado
12/6/2002,10414,10575,10412,10569,0,10569
12/9/2002,10562,10562,10339,10339,0,10339
12/10/2002,10345,10497,10307,10331,0,10331
12/11/2002,10340,10652,10340,10614,0,10614
12/12/2002,10617,10743,10569,10587,0,10587
12/13/2002,10598,10648,10494,10564,0,10564
12/16/2002,10620,10798,10611,10771,0,10771
12/17/2002,10778,10948,10526,10833,0,10833
12/18/2002,10833,11007,10723,10985,0,10985
12/19/2002,10987,11222,10984,11208,0,11208
12/20/2002,11275,11606,11262,11490,0,11490
12/23/2002,11493,11648,11384,11470,0,11470
12/26/2002,11475,11475,11301,11318,0,11318
12/27/2002,11326,11326,11207,11234,0,11234
12/30/2002,11235,11325,11212,11268,0,11268
1/2/2003,11291,11603,11291,11603,0,11603
1/3/2003,11632,11798,11600,11600,0,11600
1/6/2003,11636,12032,11633,12020,0,12020
1/7/2003,12010,12018,11842,11876,0,11876
1/8/2003,11875,11928,11757,11786,0,11786
1/9/2003,11814,11964,11780,11912,0,11912
1/10/2003,11925,12243,11925,12243,0,12243
1/13/2003,12243,12350,12095,12110,0,12110
1/14/2003,12131,12175,12052,12175,0,12175
1/15/2003,12151,12151,11899,11971,0,11971
1/16/2003,11973,12193,11921,11952,0,11952
1/17/2003,11952,11952,11555,11676,0,11676
1/20/2003,11675,11742,11545,11648,0,11648
1/21/2003,11610,11662,11434,11435,0,11435
1/22/2003,11428,11428,11132,11142,0,11142
1/23/2003,11148,11336,11027,11162,0,11162
1/24/2003,11157,11158,10753,10784,0,10784
1/27/2003,10768,10768,10462,10530,0,10530
1/28/2003,10534,10650,10495,10517,0,10517
1/29/2003,10514,10863,10457,10863,0,10863
1/30/2003,10873,11001,10705,10751,0,10751
1/31/2003,10761,11004,10741,10941,0,10941
2/3/2003,10943,11067,10852,10910,0,10910
2/4/2003,10879,10879,10534,10577,0,10577
2/5/2003,10581,10761,10497,10592,0,10592
2/6/2003,10587,10589,10360,10566,0,10566
2/7/2003,10567,10692,10355,10381,0,10381
2/10/2003,10388,10527,10310,10480,0,10480
2/11/2003,10491,10650,10475,10509,0,10509
2/12/2003,10512,10587,10445,10510,0,10510
2/13/2003,10509,10509,10091,10108,0,10108
2/14/2003,10103,10163,9968,10081,0,10081
2/17/2003,10089,10229,10089,10189,0,10189
2/18/2003,10192,10466,10166,10450,0,10450
2/19/2003,10434,10434,10206,10252,0,10252
2/20/2003,10259,10268,10118,10217,0,10217
2/21/2003,10222,10340,10144,10331,0,10331
2/24/2003,10334,10454,10251,10254,0,10254
2/25/2003,10231,10231,10022,10192,0,10192
2/26/2003,10192,10271,9977,9995,0,9995
2/27/2003,10006,10146,9998,10126,0,10126
2/28/2003,10153,10281,10152,10281,0,10281
3/5/2003,10263,10318,10104,10306,0,10306
3/6/2003,10311,10626,10311,10615,0,10615
3/7/2003,10608,10800,10438,10724,0,10724
3/10/2003,10695,10695,10294,10309,0,10309
3/11/2003,10314,10408,10199,10340,0,10340
3/12/2003,10343,10579,10290,10577,0,10577
3/13/2003,10606,10840,10591,10783,0,10783
3/14/2003,10792,10924,10755,10817,0,10817
3/17/2003,10783,10940,10609,10875,0,10875
3/18/2003,10891,11192,10891,11151,0,11151
3/19/2003,11143,11143,10944,11006,0,11006
3/20/2003,10993,11174,10858,11159,0,11159
3/21/2003,11176,11413,11176,11377,0,11377
3/24/2003,11362,11362,11024,11053,0,11053
3/25/2003,11047,11243,11035,11232,0,11232
3/26/2003,11248,11296,11186,11206,0,11206
3/27/2003,11204,11262,11036,11233,0,11233
3/28/2003,11273,11421,11221,11396,0,11396
3/31/2003,11387,11387,11215,11274,0,11274
4/1/2003,11283,11617,11283,11592,0,11592
4/2/2003,11615,11998,11602,11872,0,11872
4/3/2003,11877,12132,11876,12006,0,12006
4/4/2003,12014,12135,11924,12066,0,12066
4/7/2003,12154,12436,12120,12136,0,12136
